Fiscal Year,State,Status,Name,Individuals who are still being served as of October 1,Additional individuals who were served during the year,Total individuals served,Individuals with more than one intervention opened/closed FY,Individual still being served as of September 30
2017,South Dakota,Published,Disability Rights South Dakota,4,13,17,1,3
2017,Tennessee,Published,Disability Rights Tennessee,21,30,51,0,8
2017,Texas,Published,Disability Rights Texas,106,174,280,12,120
2017,Utah,Published,Disability Law Center,14,82,96,9,15
2017,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,9,9,18,1,1
2017,Vermont,Published,Vermont Client Assistance Program,13,24,37,1,14
2017,Washington,Published,Client Assistance Program,16,105,121,0,15
2017,Wisconsin,Published,Wisconsin Client Assistance Program,43,53,96,2,21
2017,West Virginia,Published,Disability Rights of West Virginia,10,11,21,1,8
2017,Wyoming,Published,"Protection & Advocacy System, Inc.",12,4,16,0,0
2017,Alaska,Published,Karen Tessandore,2,16,18,1,2
2017,California,Published,Disability Rights California,113,609,722,81,147
2017,Indiana,Published,Indiana Protection and Advocacy Services,10,35,45,39,6
2017,New Jersey,Published,Disability Rights New Jersey,61,41,102,3,83
2017,New Mexico,Published,Disability Rights New Mexico,5,20,25,4,7
2017,Nevada,Published,Nevada Disability Advocacy & Law Center,6,22,28,2,4
2017,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,33,16,49,2,29
2017,District of Columbia,Published,"University Legal Services, Inc.",13,23,36,6,12
2017,Ohio,Published,Disability Rights Ohio,33,97,130,10,19
2017,Virginia,Published,disAbility Law Center of Virginia,10,56,66,56,14
2017,Oklahoma,Published,Oklahoma Office of Disability Concerns,7,47,54,2,7
2017,New York,Published,Disability Rights New York (DRNY),93,210,303,19,66
2017,New Mexico,Published,Native American Disability Law Center,4,0,4,0,0
2017,Connecticut,Published,Disability Rights Connecticut,0,8,8,0,6
2018,Northern Marianas,Published,NMPASI,6,3,9,0,6
2018,New Mexico,Published,Native American Disability Law Center,0,2,2,0,1
2018,Massachusetts,Published,Massachusetts Office on Disability,23,67,90,1,24
2018,Alabama,Published,Alabama Department of Rehabilitation Services,13,30,43,0,6
2018,Arkansas,Published,"Disability Rights Arkansas, Inc.",10,24,34,0,5
2018,American Samoa,Published,Office of Protection and Advocacy for the Disabled,0,20,20,3,0
2018,Arizona,Published,Arizona Center for Disability Law,42,88,130,7,21
2018,Colorado,Published,Center for Legal Advocacy,7,16,23,1,7
2018,Delaware,Published,"United Cerebral Palsy of Delaware, Inc.",5,11,16,0,5
2018,Florida,Published,Disability Rights Florida,44,179,223,13,30
2018,Georgia,Published,Martin & Jones,62,39,101,0,11
2018,Guam,Published,EDMUND CRUZ,26,17,43,11,43
2018,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,17,32,49,1,20
2018,Iowa,Published,Lisa Schneider,5,19,24,2,2
2018,Idaho,Published,"DisAbility Rights Idaho, Inc.",4,32,36,3,7
2018,Illinois,Published,Illinois Department of Human Services,4,43,47,0,7
2018,Kansas,Published,Disability Rights Center of Kansas,8,45,53,0,13
2018,Kentucky,Published,Kentucky Client Assistance Program,2,19,21,0,5
2018,Louisiana,Published,Advocacy Center,36,25,61,1,34
2018,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,25,29,54,0,4
2018,Maine,Published,Bureau of Rehabilitation Services,38,72,110,5,22
2018,Michigan,Published,Michigan Protection & Advocacy Service Inc.,26,66,92,5,19
2018,Minnesota,Published,Mid-Minnesota Legal Assistance,28,31,59,19,30
2018,Missouri,Published,Missouri Protection & Advocacy Services,28,30,58,0,25
2018,Mississippi,Published,Mississippi Society for Disabilities,2,14,16,0,2
2018,Montana,Published,Disability Rights Montana,21,27,48,1,15
2018,North Carolina,Published,Department of Health and Human Services,23,106,129,0,17
2018,North Dakota,Published,ND Division of Vocational Rehabilitation,9,19,28,1,5
2018,Nebraska,Published,Nebraska VR (Vocational Rehabilitation),4,23,27,0,4
2018,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,0,30,30,30,0
2018,Oregon,Published,Disability Rights Oregon,21,18,39,39,21
2018,Pennsylvania,Published,Center for Disability Law & Policy,98,132,230,1,96
2018,Puerto Rico,Published,EXECUTIVE OFFICE OF THE COMMONWEALTH OF PUERTO RIC,71,12,83,3,59
2018,South Dakota,Published,Disability Rights South Dakota,2,3,5,0,3
2018,Tennessee,Published,Disability Rights Tennessee,8,45,53,4,10
2018,Texas,Published,Disability Rights Texas,113,173,286,14,139
2018,Utah,Published,Disability Law Center,15,51,66,2,10
2018,Virgin Islands,Published,Amelia Headley LaMont,8,2,10,10,5
2018,Vermont,Published,Vermont Client Assistance Program,14,23,37,3,13
2018,Washington,Published,Client Assistance Program,15,114,129,0,17
2018,Wisconsin,Published,Wisconsin Client Assistance Program,25,63,88,5,20
2018,West Virginia,Published,Disability Rights of West Virginia,9,19,28,3,0
2018,Wyoming,Published,"Protection & Advocacy System, Inc.",3,7,10,0,4
2018,Alaska,Published,Alaska State Department of Education & Early Dev.,2,10,12,0,2
2018,California,Published,Disability Rights California,147,609,756,107,187
2018,Indiana,Published,Indiana Protection and Advocacy Services,10,30,40,2,14
2018,New Jersey,Published,Disability Rights New Jersey,83,29,112,2,37
2018,New Mexico,Published,Disability Rights New Mexico,5,22,27,27,5
2018,Nevada,Published,Nevada Disability Advocacy & Law Center,4,12,16,0,3
2018,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,29,8,37,0,24
2018,District of Columbia,Published,"University Legal Services, Inc.",11,23,34,0,8
2018,Ohio,Published,Disability Rights Ohio,19,83,102,6,34
2018,Virginia,Published,disAbility Law Center of Virginia,14,55,69,5,13
2018,Oklahoma,Published,Oklahoma Office of Disability Concerns,7,45,52,2,13
2018,New York,Published,Disability Rights New York (DRNY),64,182,246,22,60
2018,South Carolina,Published,Protection & Advocacy for People with Disabilities,0,51,51,1,30
2018,Connecticut,Published,Disability Rights Connecticut,6,8,14,1,12
